MAP,ENERGY
VA20C_I000K01N11,1678768.431520
VA20C_I001K01N11,1684746.074316
VA20C_I002K01N11,1665027.486189
VA20C_I003K01N11,1666734.106939
VA20C_I004K01N11,1674864.868150
VA20C_I005K01N11,1670301.068044
VA20C_I006K01N11,1668495.630778
VA20C_I007K01N11,1676101.268469
VA20C_I008K01N11,1675558.909297
VA20C_I009K01N11,1676050.144764
VA20C_I010K01N11,1676244.923794
VA20C_I011K01N11,1676937.190878
VA20C_I012K01N11,1675482.626082
VA20C_I013K01N11,1676319.477380
VA20C_I014K01N11,1676352.358183
VA20C_I015K01N11,1671937.556277
VA20C_I016K01N11,1669008.233793
VA20C_I017K01N11,1668994.103807
VA20C_I018K01N11,1664505.873594
VA20C_I019K01N11,1837876.544118
VA20C_I020K01N11,1680650.627677
VA20C_I021K01N11,1680143.582868
VA20C_I022K01N11,1674893.530256
VA20C_I023K01N11,1814770.516868
VA20C_I024K01N11,1673027.053618
VA20C_I025K01N11,1673417.387444
VA20C_I026K01N11,1671651.659461
VA20C_I027K01N11,1673614.972405
VA20C_I028K01N11,1676240.152578
VA20C_I029K01N11,1676050.144764
VA20C_I030K01N11,1676319.477380
VA20C_I031K01N11,1672233.374947
VA20C_I032K01N11,1669008.233793
VA20C_I033K01N11,1676053.060716
VA20C_I034K01N11,1665058.351206
VA20C_I035K01N11,1678976.591406
VA20C_I037K01N11,1674684.144871
VA20C_I038K01N11,1678943.391701
VA20C_I042K01N11,1680143.582868
VA20C_I043K01N11,1674727.721752
VA20C_I044K01N11,1672493.802126
VA20C_I045K01N11,1679008.553741
VA20C_I046K01N11,1675796.871961
VA20C_I047K01N11,1672566.572961
VA20C_I048K01N11,1668837.993294
VA20C_I049K01N11,1671153.133877
VA20C_I051K01N11,1677987.473782
VA20C_I052K01N11,1671467.442272
VA20C_I053K01N11,1676050.144764
VA20C_I054K01N11,1676323.327555
VA20C_I055K01N11,1667523.260928
VA20C_I056K01N11,1685020.420237
VA20C_I057K01N11,1666318.822867
VA20C_I058K01N11,1671226.025426
VA20C_I059K01N11,1680888.302072
VA20C_I060K01N11,1678419.827912
VA20C_I061K01N11,1678119.532451
VA20C_I062K01N11,1677320.468785
VA20C_I063K01N11,1675472.089862
VA20C_I065K01N11,1673812.733147
VA20C_I066K01N11,1680991.243123
VA20C_I067K01N11,1685020.420237
VA20C_I068K01N11,1676053.060716
VA20C_I069K01N11,1672917.279111
VA20C_I070K01N11,1669462.753003
VA20C_I071K01N11,1676976.247145
VA20C_I072K01N11,1675360.476700
VA20C_I073K01N11,1667204.913756
VA20C_I075K01N11,1667492.768410
VA20C_I076K01N11,1673958.890865
VA20C_I077K01N11,1673812.733147
VA20C_I078K01N11,1677047.369917
VA20C_I079K01N11,1807883.553282
VA20C_I080K01N11,1667678.684773
VA20C_I081K01N11,1661530.904623
VA20C_I082K01N11,1673812.733147
VA20C_I083K01N11,1675470.055199
VA20C_I084K01N11,1668960.006110
VA20C_I085K01N11,1811173.627146
VA20C_I087K01N11,1670431.191971
VA20C_I088K01N11,1670723.916555
VA20C_I089K01N11,1672916.035559
VA20C_I090K01N11,1671050.909950
VA20C_I091K01N11,1811200.211787
VA20C_I093K01N11,1674848.964760
VA20C_I094K01N11,1665931.257074
VA20C_I095K01N11,1670459.232351
VA20C_I096K01N11,1675408.278011
VA20C_I097K01N11,1672455.377724
VA20C_I098K01N11,1668199.924722
VA20C_I099K01N11,1678119.532451
